product_id,name,category,subcategory,temperature,caffeine_mg,calories,sugar_g,protein_g,contains_dairy,contains_nuts,contains_gluten,is_vegan,description,price
BRW_001,Pike Place Roast,brewed,medium_roast,hot,310,5,0,1,False,False,False,True,Rich full-bodied medium roast brewed fresh throughout the day,3.25
BRW_002,Starbucks Blonde Roast,brewed,light_roast,hot,360,5,0,1,False,False,False,True,Lighter body with a mellow and smooth taste perfect for those who prefer a gentler brew,3.25
BRW_003,Dark Roast,brewed,dark_roast,hot,260,5,0,1,False,False,False,True,Bold and robust with a smoky finish for coffee lovers who like it strong,3.25
BRW_004,Decaf Pike Place Roast,brewed,decaf,hot,20,5,0,1,False,False,False,True,All the rich flavor of Pike Place with nearly no caffeine,3.25
BRW_005,Clover Brewed Coffee,brewed,medium_roast,hot,280,5,0,1,False,False,False,True,Single-serve brewed with precision for a nuanced and well-balanced cup,3.75
ESP_001,Caffè Americano,espresso,americano,hot,225,15,0,1,False,False,False,True,Espresso shots topped with hot water for a light crema and bold flavor,3.75
ESP_002,Blonde Caffè Americano,espresso,americano,hot,255,15,0,1,False,False,False,True,Blonde espresso shots with hot water for a smooth and mellow americano,3.75
ESP_003,Caffè Latte,espresso,latte,hot,150,190,18,13,True,False,False,False,Rich espresso balanced with steamed milk and a light layer of foam,5.25
ESP_004,Vanilla Latte,espresso,latte,hot,150,250,35,12,True,False,False,False,Espresso with vanilla syrup and steamed milk topped with foam,5.75
ESP_005,Caramel Macchiato,espresso,macchiato,hot,150,250,33,10,True,False,False,False,Vanilla-flavored drink marked with espresso shots and a drizzle of caramel,5.75
ESP_006,Caffè Mocha,espresso,mocha,hot,175,360,35,14,True,False,False,False,Espresso with mocha sauce and steamed milk topped with whipped cream,5.45
ESP_007,White Chocolate Mocha,espresso,mocha,hot,150,420,53,14,True,False,False,False,Espresso with white chocolate sauce and steamed milk topped with whipped cream,5.75
ESP_008,Cappuccino,espresso,cappuccino,hot,150,140,10,10,True,False,False,False,Dark espresso with a deep layer of foamed milk,4.75
ESP_009,Flat White,espresso,flat_white,hot,195,170,13,11,True,False,False,False,Ristretto shots with steamed whole milk for a velvety and intense texture,5.25
ESP_010,Honey Almondmilk Flat White,espresso,flat_white,hot,225,170,24,4,False,True,False,True,Blonde espresso with almond milk and honey for a subtly sweet dairy-free flat white,5.75
ESP_011,Cinnamon Dolce Latte,espresso,latte,hot,150,340,42,12,True,False,False,False,Espresso with cinnamon dolce syrup and steamed milk topped with whipped cream,5.75
ESP_012,Oatmilk Honey Latte,espresso,latte,hot,150,190,25,5,False,False,False,True,Espresso with oatmilk and a touch of honey for natural dairy-free sweetness,5.75
ESP_013,Pumpkin Spice Latte,espresso,latte,hot,150,380,50,14,True,False,False,False,Espresso with pumpkin spice sauce and steamed milk topped with whipped cream,5.95
ESP_014,Peppermint Mocha,espresso,mocha,hot,175,440,63,14,True,False,False,False,Espresso with peppermint and mocha sauces and steamed milk topped with whipped cream,5.95
ESP_015,Espresso,espresso,shot,hot,75,5,0,0,False,False,False,True,A single shot of concentrated espresso with a layer of golden crema,3.25
ESP_016,Doppio,espresso,shot,hot,150,10,0,0,False,False,False,True,Two shots of espresso with a rich layer of golden crema,3.75
ESP_017,Cortado,espresso,cortado,hot,150,80,7,5,True,False,False,False,Equal parts espresso and steamed milk for a smooth and balanced flavor,4.75
ESP_018,Coconutmilk Latte,espresso,latte,hot,150,180,22,2,False,False,False,True,Espresso with coconutmilk for a dairy-free tropical twist on a classic latte,5.75
ESP_019,Pistachio Latte,espresso,latte,hot,150,390,44,13,True,True,False,False,Espresso with pistachio sauce and steamed milk topped with salted brown butter crumbles,5.95
ICE_001,Iced Caffè Americano,espresso,americano,iced,225,15,0,1,False,False,False,True,Espresso shots over ice topped with water and a light layer of crema,4.25
ICE_002,Iced Caffè Latte,espresso,latte,iced,150,130,11,9,True,False,False,False,Espresso poured over ice with cold milk for a smooth refreshing drink,5.25
ICE_003,Iced Vanilla Latte,espresso,latte,iced,150,250,36,9,True,False,False,False,Espresso with vanilla syrup poured over ice and topped with milk,5.75
ICE_004,Iced Caramel Macchiato,espresso,macchiato,iced,150,250,34,9,True,False,False,False,Vanilla syrup and milk over ice topped with espresso shots and caramel drizzle,5.75
ICE_005,Iced Caffè Mocha,espresso,mocha,iced,175,300,33,11,True,False,False,False,Espresso with mocha sauce over ice topped with cold milk and whipped cream,5.45
ICE_006,Iced White Chocolate Mocha,espresso,mocha,iced,150,380,51,11,True,False,False,False,Espresso with white chocolate sauce over ice and cold milk,5.75
ICE_007,Iced Brown Sugar Oatmilk Shaken Espresso,espresso,shaken,iced,255,120,13,3,False,False,False,True,Blonde espresso shaken with brown sugar and cinnamon over ice topped with oatmilk,5.45
ICE_008,Iced Toasted Vanilla Oatmilk Shaken Espresso,espresso,shaken,iced,255,130,12,3,False,False,False,True,Blonde espresso shaken with toasted vanilla syrup over ice topped with oatmilk,5.75
ICE_009,Iced Chocolate Almondmilk Shaken Espresso,espresso,shaken,iced,255,110,10,3,False,True,False,True,Espresso shaken with chocolate malt powder over ice topped with almondmilk,5.45
ICE_010,Iced Cinnamon Dolce Latte,espresso,latte,iced,150,290,43,9,True,False,False,False,Espresso with cinnamon dolce syrup poured over ice and topped with cold milk,5.75
ICE_011,Iced Peppermint Mocha,espresso,mocha,iced,175,380,58,11,True,False,False,False,Espresso with peppermint and mocha sauces over ice with cold milk and whipped cream,5.95
ICE_012,Iced Flat White,espresso,flat_white,iced,195,170,14,11,True,False,False,False,Ristretto shots over ice with cold whole milk for a rich and velvety sip,5.25
ICE_013,Iced Caramel Latte,espresso,latte,iced,150,280,38,9,True,False,False,False,Espresso with caramel syrup poured over ice and topped with cold milk,5.75
ICE_014,Iced Pumpkin Spice Latte,espresso,latte,iced,150,310,48,9,True,False,False,False,Espresso with pumpkin spice sauce poured over ice and topped with cold milk,5.95
ICE_015,Iced Hazelnut Oatmilk Shaken Espresso,espresso,shaken,iced,255,150,17,3,False,True,False,True,Espresso shaken with hazelnut syrup over ice topped with oatmilk,5.75
ICE_016,Iced Oatmilk Latte,espresso,latte,iced,150,130,10,3,False,False,False,True,Espresso over ice with oatmilk for a creamy dairy-free latte,5.45
ICE_017,Iced Coconutmilk Latte,espresso,latte,iced,150,130,11,1,False,False,False,True,Espresso over ice with coconutmilk for a tropical dairy-free treat,5.45
ICE_018,Iced Almondmilk Latte,espresso,latte,iced,150,80,4,2,False,True,False,True,Espresso over ice with almondmilk for a light nutty dairy-free latte,5.45
CBR_001,Cold Brew Coffee,cold_brew,cold_brew,iced,205,5,0,0,False,False,False,True,Slow-steeped in cold water for 20 hours for a smooth and naturally sweet bold brew,4.95
CBR_002,Vanilla Sweet Cream Cold Brew,cold_brew,cold_brew,iced,185,110,14,1,True,False,False,False,Cold brew topped with house-made vanilla sweet cream for a rich finish,5.45
CBR_003,Salted Caramel Cream Cold Brew,cold_brew,cold_brew,iced,185,300,45,1,True,False,False,False,Cold brew with vanilla syrup topped with salted caramel cream cold foam,5.75
CBR_004,Chocolate Cream Cold Brew,cold_brew,cold_brew,iced,185,290,38,2,True,False,False,False,Cold brew topped with house-made chocolate cream cold foam,5.75
CBR_005,Irish Cream Cold Brew,cold_brew,cold_brew,iced,185,200,31,1,True,False,False,False,Cold brew with Irish cream syrup topped with silky cold foam and cocoa powder,5.75
CBR_006,Nitro Cold Brew,cold_brew,nitro,iced,280,5,0,0,False,False,False,True,Cold brew infused with nitrogen for a smooth creamy texture and natural sweetness,5.25
CBR_007,Nitro Cold Brew with Sweet Cream,cold_brew,nitro,iced,265,70,4,1,True,False,False,False,Nitro cold brew topped with house-made vanilla sweet cream,5.75
CBR_008,Nitro with Salted Honey Cold Foam,cold_brew,nitro,iced,265,130,14,1,True,False,False,False,Nitro cold brew topped with salted honey cold foam for a sweet-salty sip,5.95
CBR_009,Brown Sugar Oatmilk Cold Brew,cold_brew,cold_brew,iced,205,120,14,3,False,False,False,True,Cold brew shaken with brown sugar and cinnamon topped with oatmilk,5.75
CBR_010,Hazelnut Oatmilk Cold Brew,cold_brew,cold_brew,iced,205,130,16,3,False,True,False,True,Cold brew with hazelnut syrup topped with oatmilk for a nutty dairy-free cold brew,5.75
CBR_011,Reserve Cold Brew,cold_brew,cold_brew,iced,200,5,0,0,False,False,False,True,Small-batch slow-steeped cold brew with a distinctive and complex character,5.45
CBR_012,Vanilla Sweet Cream Nitro,cold_brew,nitro,iced,265,120,11,1,True,False,False,False,Nitro cold brew topped with house-made vanilla sweet cream cold foam,5.95
